"date","name","dist","lugar","cat","note"
"2026-03-22","Media Maraton de Madrid","5/21 km","Madrid","running",""
"2026-03-28","MetLife Madrid 15K","15 km","Madrid","running",""
"2026-04-26","Zurich Rock'n'Roll (MAPOMA)","10/21/42 km","Madrid","running",""
"2026-05-10","Carrera de la Mujer","6 km","Madrid","running",""
"2026-06-14","Maraton Guadarrama","44 km trail","Cercedilla","running",""
"2026-10-04","Carrera Popular Vicalvaro","5/10 km","Vicalvaro","running",""
"2026-04-16","HYROX Malaga","8km+8WO","FYCMA","hyrox","16-19 abr"
"2026-05-14","HYROX Barcelona","8km+8WO","Fira Barcelona","hyrox","14-17 may"
"2026-05-22","HYROX Madrid","8km+8WO","IFEMA","hyrox","22-24 may"
"2026-03-21","DEKA MILE Guadarrama","MILE","Box Siete Picos","deka",""
"2026-04-11","DEKA MILE Arganda","MILE","Heaven CrossFit","deka",""
"2026-04-18","DEKA Valencia","FIT/MILE/Teams","La Marina","deka",""
"2026-07-18","DEKA Madrid","FIT/MILE/STRONG","Madrid Arena","deka","18-19 jul"
"2026-05-29","MAD Fitness Festival","Individual/Teams","Ciudad Real","crossfit","Semifinal Games"
"2026-05-09","Tomelloso Throwdown","Parejas/Equipos","Tomelloso","crossfit",""
"2026-05-22","Batalla de Guisando","Ind./Parejas","El Tiemblo","crossfit","22-24 may"
